Lipid_name,Num_tails,Num_carbon_in_tail,MolWt
4A3-SC5,4,5,1298.8859999999995
4A3-SC6,4,6,1354.9939999999995
4A3-SC7,4,7,1411.1019999999996
4A3-SC8,4,8,1467.21
4A3-SC9,4,9,1523.3179999999998
4A3-SC10,4,10,1579.426
4A3-SC11,4,11,1635.5339999999997
4A3-SC12,4,12,1691.6419999999996
4A3-SC14,4,14,1803.8579999999997
4A3-SC5,4,5,1298.8859999999995
4A3-SC6,4,6,1354.9939999999995
4A3-SC7,4,7,1411.1019999999996
4A3-SC8,4,8,1467.21
4A3-SC9,4,9,1523.3179999999998
4A3-SC10,4,10,1579.426
4A3-SC11,4,11,1635.5339999999997
4A3-SC12,4,12,1691.6419999999996
4A3-SC14,4,14,1803.8579999999997
4A3-SC5,4,5,1298.8859999999995
4A3-SC6,4,6,1354.9939999999995
4A3-SC7,4,7,1411.1019999999996
4A3-SC8,4,8,1467.21
4A3-SC9,4,9,1523.3179999999998
4A3-SC10,4,10,1579.426
4A3-SC11,4,11,1635.5339999999997
4A3-SC12,4,12,1691.6419999999996
4A3-SC14,4,14,1803.8579999999997
4A3-SC5,4,5,1298.8859999999995
4A3-SC6,4,6,1354.9939999999995
4A3-SC7,4,7,1411.1019999999996
4A3-SC8,4,8,1467.21
4A3-SC9,4,9,1523.3179999999998
4A3-SC10,4,10,1579.426
4A3-SC11,4,11,1635.5339999999997
4A3-SC12,4,12,1691.6419999999996
4A3-SC14,4,14,1803.8579999999997
